processing_date,category_1,category_2,isbn13
20250118,Classic Books,Children's Bedtime & Dream Books,1
20250118,Classic Books,Children's Books on Adoption,1
20250118,Classic Books,Children's Books on Bears,2
20250118,Classic Books,Children's Books on Country & Farm Life,1
20250118,Classic Books,Children's Books on Dogs,2
20250118,Classic Books,Children's Books on Easter,2
20250118,Classic Books,Children's Books on Emotions & Feelings,2
20250118,Classic Books,Children's Books on Family Life,1
20250118,Classic Books,Children's Books on Farm Animals,2
20250118,Classic Books,Children's Books on Fashion Crafts,1
20250118,Classic Books,Children's Books on Forests & Trees,1
20250118,Classic Books,Children's Books on Holidays & Celebrations,1
20250118,Classic Books,Children's Books on Home,1
20250118,Classic Books,Children's Books on Mystery & Wonders,2
20250118,Classic Books,Children's Books on New Babies,1
20250118,Classic Books,Children's Books on Pigs,1
20250118,Classic Books,Children's Books on Rabbits,1
20250118,Classic Books,Children's Books on Sports & the Outdoors,1
20250118,Classic Books,Children's Books on Travel,1
20250118,Classic Books,Children's Classic Literature,2
20250118,Classic Books,Children's Early Learning Books on Numbers & Counting,1
20250118,Classic Books,Children's Early Learning Books on Size & Shape,1
20250118,Classic Books,Children's Early Learning Books on Sounds,2
20250118,Classic Books,Children's Early Learning Books on Words,2
20250118,Classic Books,Children's Early Learning Books on the Body,1
20250118,Classic Books,Children's Fiction Books on Animals,1
20250118,Classic Books,Children's Historical Fiction on Military & Wars,1
20250118,Classic Books,Children's Imagination & Play Literature,1
20250118,Classic Books,"Children's Lion, Tiger & Leopard eBooks",1
20250118,Classic Books,Children's Sword & Sorcery Fantasy eBooks,1
20250118,Classic Books,Children's eBooks on Siblings,1
20250118,Classic Books,Classics for Children,8
20250118,Classic Books,Contemporary Fantasy for Young Adults,2
20250118,Classic Books,Doctors & Medicine Humour,1
20250118,Classic Books,"Dragons, Unicorns & Mythical Creatures Tales for Children",2
20250118,Classic Books,"Early Reader's Rhymes, Verse & Wordplay for Children",1
20250118,Classic Books,Fantasy Adventure for Children,1
20250118,Classic Books,Fantasy Fiction About Wizards & Witches for Young Adults,1
20250118,Classic Books,Fiction About Emotions & Feelings for Children,1
20250118,Classic Books,Fiction About Values & Virtues for Children,1
20250118,Classic Books,Fiction Classics for Young Adults,5
20250118,Classic Books,Horror & Ghost Stories for Children,1
20250118,Classic Books,Magical Realist Fiction for Young Adults,1
20250118,Classic Books,Modern & Contemporary Historical Fiction for Children,1
20250118,Classic Books,Nature Education,1
20250118,Classic Books,Nursery Rhymes for Children (Books),1
20250118,Classic Books,Paranormal Fantasy for Children,1
20250118,Classic Books,Short Stories for Young Adults,1
20250118,Classic Books,Short Story Collections for Children,1
20250118,Classic Books,Travel Fiction for Children,1
20250118,Classic Books,Visionary & Metaphysical Fantasy Fiction for Children,1
20250118,Classics for Children,Children's Early Learning Books on Words,2
20250118,Classics for Children,"Early Reader's Rhymes, Verse & Wordplay for Children",1
20250118,Classics for Children,Nursery Rhymes for Children (Books),1
20250118,Colouring Books for Children,Sport and Outdoors,1
20250118,Comics & Graphic Novels for Children,General Humour,1
20250118,Comics and Graphic Novels,Children's Action & Adventure Comics & Graphic Novels,1
20250118,Comics and Graphic Novels,Children's Animal Comics & Graphic Novels,2
20250118,Comics and Graphic Novels,Children's Books on Crafts & Hobbies,1
20250118,Comics and Graphic Novels,Children's Books on Family Life,4
20250118,Comics and Graphic Novels,"Children's Books on Science, Nature & How It Works",2
20250118,Comics and Graphic Novels,Children's Books on Television & Radio,1
20250118,Comics and Graphic Novels,Children's Humorous Comics & Graphic Novels,10
20250118,Comics and Graphic Novels,Children's Science & Nature Comics & Graphic Novels,1
20250118,Comics and Graphic Novels,Classics for Children,1
20250118,Comics and Graphic Novels,Comics & Graphic Novels for Children,1
20250118,Comics and Graphic Novels,General Humour,2
20250118,Comics and Graphic Novels,Hidden Picture Books for Children,1
20250118,Comics and Graphic Novels,Humour for Children,1
20250118,Comics and Graphic Novels,Literature & Fiction for Children (Books),2
20250118,Comics and Graphic Novels,Managers' Guides to Computing,1
20250118,Comics and Graphic Novels,Nonfiction Comic Books for Children,1
20250118,Comics and Graphic Novels,Nursery Rhymes for Children (Books),1
20250118,Comics and Graphic Novels,Puzzle Books for Children,2
20250118,Comics and Graphic Novels,Superhero Comics for Children,3
20250118,Comics with Media Tie-Ins for Children,Children's Books on Video & Electronic Games,1
20250118,Comics with Media Tie-Ins for Children,Children's Books on the History of Exploration & Discovery,1
20250118,Comics with Media Tie-Ins for Children,Children's Interactive Adventures,1
20250118,Comics with Media Tie-Ins for Children,Comics and Graphic Novels,2
20250118,Comics with Media Tie-Ins for Children,Puzzle Books for Children,1
20250118,Contemporary Fantasy for Young Adults,Fiction Classics for Young Adults,2
20250118,Doctors & Medicine Humour,Classics for Children,1
20250118,"Dragons, Unicorns & Mythical Creatures Tales for Children",Children's Books on Jobs & Careers,1
20250118,"Dragons, Unicorns & Mythical Creatures Tales for Children",Children's Books on Mystery & Wonders,5
20250118,"Dragons, Unicorns & Mythical Creatures Tales for Children",Children's Books on Rabbits,2
20250118,"Dragons, Unicorns & Mythical Creatures Tales for Children",Horror & Ghost Stories for Children,2
20250118,"Dragons, Unicorns & Mythical Creatures Tales for Children","Science, Nature & How It Works",4
20250118,Dystopian,Dystopian Science Fiction (Kindle Store),1
20250118,Dystopian,Science Fiction Adventure (Books),1
20250118,Dystopian,Teen and Young Adult,1
20250118,Dystopian Science Fiction (Kindle Store),Science Fiction Adventure (Books),1
20250118,"Early Reader's Rhymes, Verse & Wordplay for Children",Comics and Graphic Novels,1
20250118,"Early Reader's Rhymes, Verse & Wordplay for Children",Nursery Rhymes for Children (Books),2
20250118,"Early Reader's Rhymes, Verse & Wordplay for Children","Science, Nature & How It Works",1
20250118,Electronics & Communications Engineering,"Science, Nature & How It Works",1
20250118,Exploring Polar Regions for Children,"Science, Nature & How It Works",1
20250118,Exploring the United States for Children,Children & Young Adult Biographies,1
20250118,Exploring the United States for Children,Sport and Outdoors,1
20250118,Exploring the United States for Children,Sports & Recreation Biographies for Children,1
20250118,FC Liverpool,Books on Football for Young Adults,1
20250118,FC Liverpool,Football References,1
20250118,FC Liverpool,Sport and Outdoors,1
20250118,"Fairy Tales, Folk Tales & Myths for Children (Books)","Science, Nature & How It Works",1
20250118,Fantasy & Supernatural Mysteries & Thrillers for Young Adults,Fiction About Parents for Young Adults,1
20250118,Fantasy & Supernatural Mysteries & Thrillers for Young Adults,Fiction About Siblings for Young Adults,1
20250118,Fantasy & Supernatural Mysteries & Thrillers for Young Adults,Sport and Outdoors,1
20250118,Fantasy Adventure for Children,Children's Books on Performing Arts,1
20250118,Fantasy Adventure for Children,"Science, Nature & How It Works",1
20250118,Fiction About Emotions & Feelings for Children,Classics for Children,1
20250118,Fiction About Family for Children,Children's Books on Family Life,2
20250118,Fiction About Family for Children,Children's Humorous Comics & Graphic Novels,2
20250118,Fiction About Family for Children,Comics and Graphic Novels,2
20250118,Fiction About Friendship for Children,Children's Humorous Comics & Graphic Novels,1
20250118,Fiction About Friendship for Children,Comics and Graphic Novels,1
20250118,Fiction About Health for Children,"Early Reader's Rhymes, Verse & Wordplay for Children",1
20250118,Fiction About Health for Children,"Science, Nature & How It Works",1
20250118,Fiction About Parents for Young Adults,Sport and Outdoors,1
20250118,Fiction About Siblings for Young Adults,Fiction About Parents for Young Adults,1
20250118,Fiction About Siblings for Young Adults,Sport and Outdoors,1
20250118,Fiction About Values & Virtues for Children,Visionary & Metaphysical Fantasy Fiction for Children,1
20250118,Fiction Classics for Young Adults,Fantasy Fiction About Wizards & Witches for Young Adults,1
20250118,Fiction Classics for Young Adults,Paranormal Fantasy for Children,1
20250118,Football Biographies (Books),Sport and Outdoors,1
20250118,Football Fans,Premier League Football,1
20250118,Football Fans,Sport and Outdoors,2
20250118,Football References,Books on Football for Young Adults,2
20250118,Football References,Children & Young Adult Biographies,1
20250118,Football References,Children's Books on American Football,1
20250118,Football References,Sport and Outdoors,3
20250118,Football References,Sports & Recreation Biographies for Children,1
20250118,Football Skills & Coaching,Football Fans,1
20250118,Football Skills & Coaching,Premier League Football,1
20250118,Football Skills & Coaching,Sport and Outdoors,1
20250118,General Humour,Children's Humorous Comics & Graphic Novels,1
20250118,Hidden Picture Books for Children,"Science, Nature & How It Works",1
20250118,Historical Regency Fiction,Regency Historical Romance (Kindle Store),1
20250118,Historical Regency Fiction,Teen and Young Adult,1
20250118,Horror & Ghost Stories for Children,Children's Books on Mystery & Wonders,2
20250118,Horror & Ghost Stories for Children,"Fairy Tales, Folk Tales & Myths for Children (Books)",1
20250118,Horror & Ghost Stories for Children,"Science, Nature & How It Works",2
20250118,Horror Thrillers,Horror Fantasy,1
20250118,Horror Thrillers,Teen and Young Adult,1
20250118,Humour for Children,Children's Humorous Comics & Graphic Novels,1
20250118,Intermediate & Advanced Readers for Children,Children's Books on American Football,1
20250118,Intermediate & Advanced Readers for Children,Children's Books on Football,1
20250118,Intermediate & Advanced Readers for Children,Classic Books,1
20250118,Intermediate & Advanced Readers for Children,Fiction About Values & Virtues for Children,1
20250118,Intermediate & Advanced Readers for Children,Sport and Outdoors,1
20250118,Intermediate & Advanced Readers for Children,Visionary & Metaphysical Fantasy Fiction for Children,1
20250118,Jokes & Riddles Humour,Children's Books on Christmas,1
20250118,Jokes & Riddles Humour,Comics and Graphic Novels,1
20250118,Jokes & Riddles Humour,FIFA,1
20250118,Jokes & Riddles Humour,Sport and Outdoors,2
20250118,Literature & Fiction for Children (Books),Children's Action & Adventure Comics & Graphic Novels,1
20250118,Literature & Fiction for Children (Books),Children's Animal Comics & Graphic Novels,1
20250118,Literature & Fiction for Children (Books),Children's Science & Nature Comics & Graphic Novels,1
20250118,Magical Realist Fiction for Young Adults,Fiction Classics for Young Adults,1
20250118,Magical Realist Fiction for Young Adults,Paranormal Fantasy for Children,1
20250118,Managers' Guides to Computing,Children's Books on Crafts & Hobbies,1
20250118,Medical Romance,Social Sciences (Books),1
20250118,Medical Romance,Teen and Young Adult,1
20250118,Medical Romance,Travel & Tourism (Books),1
20250118,Modern & Contemporary Historical Fiction for Children,Children's Historical Fiction on Military & Wars,1
20250118,Multicultural Biographies for Children,Biographies of Social Activists for Children,1
20250118,Multicultural Biographies for Children,Children's Books on Motor Sports,1
20250118,Multicultural Biographies for Children,Sport and Outdoors,1
20250118,Multicultural Stories for Children (Books),Children's Books on New Babies,1
20250118,Multicultural Stories for Children (Books),Children's Early Learning Books on the Body,1
20250118,Multicultural Stories for Children (Books),Classic Books,1
20250118,Nature Education,Fantasy Adventure for Children,1
20250118,Premier League Football,Sport and Outdoors,1
20250118,Puzzle Books for Children,Children's Humorous Comics & Graphic Novels,1
20250118,Puzzle Books for Children,Hidden Picture Books for Children,1
20250118,Raising Teenagers,Child Development,1
20250118,Regency Historical Romance (Books),Historical Regency Fiction,1
20250118,Regency Historical Romance (Books),Regency Historical Romance (Kindle Store),1
20250118,Regency Historical Romance (Books),Teen and Young Adult,1
20250118,Romantic Action & Adventure,Enemies to Lovers Romance eBooks,1
20250118,Romantic Action & Adventure,Teen & Young Adult eBooks,1
20250118,Romantic Action & Adventure,Teen and Young Adult,1
20250118,Science Fiction for Children,Children's Books on Horses,1
20250118,Science Fiction for Children,Sport and Outdoors,1
20250118,Short Stories for Young Adults,Fiction Classics for Young Adults,1
20250118,Short Stories for Young Adults,Short Story Collections for Children,1
20250118,Short Story Collections for Children,Children's Books on Bears,1
20250118,Short Story Collections for Children,Children's Books on Emigrants & Immigrants,1
20250118,Short Story Collections for Children,Comics and Graphic Novels,1
20250118,Short Story Collections for Children,Fiction Classics for Young Adults,1
20250118,Short Story Collections for Children,Jokes & Riddles Humour,1
20250118,Short Story Collections for Children,"Science, Nature & How It Works",1
20250118,Soccer Coaching,Ball Games,1
20250118,Soccer Coaching,Children's Books on the Olympics,1
20250118,Soccer Coaching,Sport and Outdoors,1
20250118,Social Sciences (Books),Teen and Young Adult,1
20250118,Social Sciences (Books),Travel & Tourism (Books),1
20250118,South American Football,Football Biographies (Books),1
20250118,South American Football,Sport and Outdoors,1
20250118,South American Football,Sports & Recreation Biographies for Children,1
20250118,Sport and Outdoors,Books on Football for Young Adults,1
20250118,Sport and Outdoors,Children & Young Adult Biographies,2
20250118,Sport and Outdoors,Children's Books on Farm Animals,1
20250118,Sport and Outdoors,Children's Books on Football,1
20250118,Sport and Outdoors,Children's Books on Health,1
20250118,Sport and Outdoors,Children's Books on Horses,1
20250118,Sport and Outdoors,Children's Books on Marriage & Divorce,1
20250118,Sport and Outdoors,Children's Books on Motor Sports,1
20250118,Sport and Outdoors,Children's Books on Pigs,1
20250118,Sport and Outdoors,Children's Fantasy & Supernatural Mystery eBooks,1
20250118,Sport and Outdoors,Children's Fiction on Sexuality,1
20250118,Sport and Outdoors,FIFA,1
20250118,Sport and Outdoors,Humour Encyclopaedias,1
20250118,Sports & Recreation Biographies for Children,Children & Young Adult Biographies,2
20250118,Sports & Recreation Biographies for Children,Football Biographies (Books),1
20250118,Sports & Recreation Biographies for Children,Sport and Outdoors,3
20250118,Sports Humour,Children's Books on School,1
20250118,Sports Humour,Sport and Outdoors,1
20250118,"Sports, Hobby & Games Encyclopaedias",Children's Books on American Football,1
20250118,"Sports, Hobby & Games Encyclopaedias",Humour Encyclopaedias,1
20250118,"Sports, Hobby & Games Encyclopaedias",Sport and Outdoors,1
20250118,Stories in Verse for Children (Books),"Children's Books on Science, Nature & How It Works",1
20250118,Stories in Verse for Children (Books),Hidden Picture Books for Children,1
20250118,Stories in Verse for Children (Books),"Science, Nature & How It Works",1
20250118,Super-Hero Graphic Novels,Children's Books on Pets,2
20250118,Super-Hero Graphic Novels,Children's Mystery & Detective Comics & Graphic Novels,4
20250118,Super-Hero Graphic Novels,Comics and Graphic Novels,6
20250118,Super-Hero Graphic Novels,Superhero Comics for Children,3
20250118,Superhero Comics for Children,Children's Books on Self-Esteem & Self-Respect,1
20250118,Superhero Comics for Children,Children's Mystery & Detective Comics & Graphic Novels,3
20250118,Superhero Comics for Children,Comics and Graphic Novels,3
20250118,"TV, Movie & Video Game Adaptations for Children","Science, Nature & How It Works",1
20250118,Teen & Young Adult Occult Horror Fiction eBooks,Horror Fantasy,1
20250118,Teen & Young Adult Occult Horror Fiction eBooks,Horror Thrillers,1
20250118,Teen & Young Adult Occult Horror Fiction eBooks,Teen and Young Adult,1
20250118,Teen & Young Adult eBooks,Enemies to Lovers Romance eBooks,1
20250118,Teen & Young Adult eBooks,Teen and Young Adult,1
20250118,Teen and Young Adult,Child Development,1
20250118,Teen and Young Adult,Dystopian Science Fiction (Kindle Store),1
20250118,Teen and Young Adult,Enemies to Lovers Romance eBooks,1
20250118,Teen and Young Adult,Horror Fantasy,1
20250118,Teen and Young Adult,Raising Teenagers,1
20250118,Teen and Young Adult,Regency Historical Romance (Kindle Store),1
20250118,Teen and Young Adult,Science Fiction Adventure (Books),1
20250118,Teen and Young Adult,Travel & Tourism (Books),1
20250118,Travel Fiction for Children,Children's Books on Forests & Trees,1
20250118,Wild Mammals,Birdwatching (Books),1
20250118,Wild Mammals,Children's Books on Forests & Trees,1
20250118,Wild Mammals,"Science, Nature & How It Works",1
